demanded_req	req_index	req_10K	req_iis_index	req_iis_10k	con_index	con_10K	con_iis	rep_index	rep_10k	rep_t_index	rep_t_10K	rep_t_iis	io_index	io_10k	error_index	error_10K	req_404	con_404	rep_404	rep_t_404	io_404	error_404
60	60	60	60	60	20	20	20	60	60	5.3	5.5	0.3	33	618.6	0	0	60	20	60	5.3	23.3	0
90	90	90	90	90	30	30	30	90	90	5.2	5.7	0.25	49.5	927.8	0	0	90	30	90	5.4	35	0
120	120	120	120	120	40	40	40	120	119.9	5.3	5.9	0.2	66	1236.6	0	0	120	40	120	5.3	46.6	0
150	150	150	150	150	50	50	50	150	150	7.2	8.3	0.2	82.5	1545.9	0	0	150	50	150	6.2	58.3	0
180	180	179.9	180.1	180.1	60	60	60	179.9	179.9	8.3	15.1	0.2	98.9	1854	0	0	180	60	179.9	7.2	69.9	0
210	209.9	192.1	210	210	70	65.6	70	209.9	191.4	8.6	528.2	0.2	115.4	1975	0	1	209.9	70	209.9	8.3	81.6	0
240	239.8	189.7	240.1	240.1	80	72.8	80	239.5	186.8	13.3	650.9	0.2	131.8	1922.6	0.022232103	6	239.8	80	239.8	12.1	93.2	0.011113581
270	269.6	187.8	270	270	89.9	80.6	90	269.6	180.3	14.9	676.4	0.2	148.2	1865.9	0	11	269.3	89.8	269.8	11.7	104.7	0
300	271.2	187	300.1	300.1	92.5	86.9	100	270	178.5	397.7	697.1	0.2	149	1843	0.819672131	15	296.7	98.9	296.3	76.5	115.3	0
330	261.7	185	330	330	98.1	93.6	110	258.4	173.5	523.6	710.4	0.2	142.3	1781.2	4.644981648	21	295.7	100.2	297.9	380.8	114.8	0.610652493
360	257.2	185	360.1	360.1	104.1	100.5	120	252.2	170	558.5	724.2	0.2	138.2	1754.9	8.246708247	26	301.9	107.3	298.9	442.4	116.7	2.470461869